TITLE = "2D mesh with final value"
VARIABLES = "X" "Y" "scalar" "diff"
ZONE I=202, J=202, F=POINT
-0.00875 -0.00875 650 0
0.00875 -0.00875 900 0
0.02625 -0.00875 900 0
0.04375 -0.00875 900 0
0.06125 -0.00875 900 0
0.07875 -0.00875 900 0
0.09625 -0.00875 900 0
0.11375 -0.00875 900 0
0.13125 -0.00875 900 0
0.14875 -0.00875 900 0
0.16625 -0.00875 900 0
0.18375 -0.00875 900 0
0.20125 -0.00875 900 0
0.21875 -0.00875 900 0
0.23625 -0.00875 900 0
0.25375 -0.00875 900 0
0.27125 -0.00875 900 0
0.28875 -0.00875 900 0
0.30625 -0.00875 900 0
0.32375 -0.00875 900 0
0.34125 -0.00875 900 0
0.35875 -0.00875 900 0
0.37625 -0.00875 900 0
0.39375 -0.00875 900 0
0.41125 -0.00875 900 0
0.42875 -0.00875 900 0
0.44625 -0.00875 900 0
0.46375 -0.00875 900 0
0.48125 -0.00875 900 0
0.49875 -0.00875 900 0
0.51625 -0.00875 900 0
0.53375 -0.00875 900 0
0.55125 -0.00875 900 0
0.56875 -0.00875 900 0
0.58625 -0.00875 900 0
0.60375 -0.00875 900 0
0.62125 -0.00875 900 0
0.63875 -0.00875 900 0
0.65625 -0.00875 900 0
0.67375 -0.00875 900 0
0.69125 -0.00875 900 0
0.70875 -0.00875 900 0
0.72625 -0.00875 900 0
0.74375 -0.00875 900 0
0.76125 -0.00875 900 0
0.77875 -0.00875 900 0
0.79625 -0.00875 900 0
0.81375 -0.00875 900 0
0.83125 -0.00875 900 0
0.84875 -0.00875 900 0
0.86625 -0.00875 900 0
0.88375 -0.00875 900 0
0.90125 -0.00875 900 0
0.91875 -0.00875 900 0
0.93625 -0.00875 900 0
0.95375 -0.00875 900 0
0.97125 -0.00875 900 0
0.98875 -0.00875 900 0
1.00625 -0.00875 900 0
1.02375 -0.00875 900 0
1.04125 -0.00875 900 0
1.05875 -0.00875 900 0
1.07625 -0.00875 900 0
1.09375 -0.00875 900 0
1.11125 -0.00875 900 0
1.12875 -0.00875 900 0
1.14625 -0.00875 900 0
1.16375 -0.00875 900 0
1.18125 -0.00875 900 0
1.19875 -0.00875 900 0
1.21625 -0.00875 900 0
1.23375 -0.00875 900 0
1.25125 -0.00875 900 0
1.26875 -0.00875 900 0
1.28625 -0.00875 900 0
1.30375 -0.00875 900 0
1.32125 -0.00875 900 0
1.33875 -0.00875 900 0
1.35625 -0.00875 900 0
1.37375 -0.00875 900 0
1.39125 -0.00875 900 0
1.40875 -0.00875 900 0
1.42625 -0.00875 900 0
1.44375 -0.00875 900 0
1.46125 -0.00875 900 0
1.47875 -0.00875 900 0
1.49625 -0.00875 900 0
1.51375 -0.00875 900 0
1.53125 -0.00875 900 0
1.54875 -0.00875 900 0
1.56625 -0.00875 900 0
1.58375 -0.00875 900 0
1.60125 -0.00875 900 0
1.61875 -0.00875 900 0
1.63625 -0.00875 900 0
1.65375 -0.00875 900 0
1.67125 -0.00875 900 0
1.68875 -0.00875 900 0
1.70625 -0.00875 900 0
1.72375 -0.00875 900 0
1.74125 -0.00875 900 0
1.75875 -0.00875 900 0
1.77625 -0.00875 900 0
1.79375 -0.00875 900 0
1.81125 -0.00875 900 0
1.82875 -0.00875 900 0
1.84625 -0.00875 900 0
1.86375 -0.00875 900 0
1.88125 -0.00875 900 0
1.89875 -0.00875 900 0
